Assembly	X..contigs.....1000.bp.	X..contigs.....5000.bp.	X..contigs.....10000.bp.	X..contigs.....25000.bp.	X..contigs.....50000.bp.	Total.length.....1000.bp.	Total.length.....5000.bp.	Total.length.....10000.bp.	Total.length.....25000.bp.	Total.length.....50000.bp.	X..contigs	Largest.contig	Total.length	Reference.length	GC....	Reference.GC....	N50	NG50	N75	NG75	L50	LG50	L75	LG75	X..misassemblies	X..misassembled.contigs	Misassembled.contigs.length	X..local.misassemblies	X..unaligned.contigs	Unaligned.length	Genome.fraction....	Duplication.ratio	X..N.s.per.100.kbp	X..mismatches.per.100.kbp	X..indels.per.100.kbp	X..predicted.genes..unique.	X..predicted.genes.....0.bp.	X..predicted.genes.....300.bp.	X..predicted.genes.....1500.bp.	X..predicted.genes.....3000.bp.	Largest.alignment	NA50	NGA50	NA75	NGA75	LA50	LGA50	LA75	LGA75	gid	refLength	refMapping	group	assemblerGroup	X..genes	cov
Velour k31 c20.01	1	1	0	0	0	9955	9955	0	0	0	1	9955	9955	9957	50,71	50,7	9955	9955	9955	9955	1	1	1	1	0	0	0	0	0 + 0 part	0	99,98	1	0	0	0	12	12	10	2	0	9955	9955	9955	9955	9955	1	1	1	1	Sample19_20	9957	83975	circular_elem	5	0 + 0 part	1265,064779
Velour k31 c20.01	1	0	0	0	0	4890	0	0	0	0	1	4890	4890	4959	35,13	35,27	4890	4890	4890	4890	1	1	1	1	0	0	0	0	0 + 0 part	0	98,609	1	0	0	0	5	5	5	1	0	4890	4890	4890	4890	4890	1	1	1	1	Sample19_52	4959	4513	circular_elem	5	0 + 0 part	136,5093769
Velour k31 c20.01	2	0	0	0	0	2478	0	0	0	0	4	1356	3935	4900	40,58	40,43	1122	1122	899	558	2	2	3	4	0	0	0	0	0 + 0 part	0	79,735	1,007	0	0	0	9	9	4	0	0	1356	1122	1122	899	558	2	2	3	4	Sample19_56	4900	1223	circular_elem	5	0 + 0 part	37,43877551
Velour k31 c20.01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	Sample22_283	2721	509	circular_elem	5	NA	28,05953693
Velour k31 c20.01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	Sample22_57	6280	9216	circular_elem	5	NA	220,1273885
Velour k31 c20.01	1	1	0	0	0	5159	5159	0	0	0	1	5159	5159	5236	38,42	38,54	5159	5159	5159	5159	1	1	1	1	0	0	0	0	0 + 0 part	0	98,529	1	0	0	0	7	7	5	1	0	5159	5159	5159	5159	5159	1	1	1	1	Sample22_89	5236	24162	circular_elem	5	0 + 0 part	692,1886937
Velour k31 c20.01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	Sample23_271	1739	266073	circular_elem	5	NA	22950,51754
Velour k31 c20.01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	Sample23_273	1734	614	circular_elem	5	NA	53,11418685
Velour k31 c20.01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	Sample23_288	1666	5165	circular_elem	5	NA	465,0360144
Velour k31 c20.01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	Sample6_289	2362	715	circular_elem	5	NA	45,40643522
Velour k31 c20.01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	Sample6_476	1678	74	circular_elem	5	NA	6,615017878
Velour k31 c20.01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	Sample6_49	5285	5584	circular_elem	5	NA	158,4862819
Velour k31 c20.01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	Sample6_527	1550	13458	circular_elem	5	NA	1302,387097
Velour k31 c20.01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	Sample6_722	1210	530	circular_elem	5	NA	65,70247934
Velour k31 c20.01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	Sample9_2	5544	2217	circular_elem	5	NA	59,98376623
Velour k31 c20.01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	Sample9_65	2080	274	circular_elem	5	NA	19,75961538
Velour k31 c20.01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	evo_1035930.011	2264253	113983	strain	5	NA	7,551033387
Velour k31 c20.01	170	2	0	0	0	242677	13305	0	0	0	924	7691	758857	2413510	31,03	30,86	822	NA	634	NA	323	NA	586	NA	2	2	1186	0	0 + 0 part	0	31,439	1	0	0	0	1470	1470	968	6	0	7691	822	0	634	NA	323	NA	586	NA	evo_1035930.029	2413510	2005302	strain	5	481 + 1412 part	124,629813
Velour k31 c20.01	0	0	0	0	0	0	0	0	0	0	1	537	537	2296439	28,68	30,92	537	NA	537	NA	1	NA	1	NA	0	0	0	0	0 + 0 part	0	0,023	1	0	0	0	1	1	1	0	0	537	537	0	537	NA	1	NA	1	NA	evo_1035930.032	2296439	660938	strain	5	1 + 1 part	43,17149291
Velour k31 c20.01	0	0	0	0	0	0	0	0	0	0	1	512	512	3363445	33,98	35,83	512	NA	512	NA	1	NA	1	NA	0	0	0	0	0 + 0 part	0	0,015	1	0	0	0	1	1	1	0	0	512	512	0	512	NA	1	NA	1	NA	evo_1049056.011	3363445	3162133	strain	5	0 + 1 part	141,0220622
Velour k31 c20.01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	evo_1049056.013	3524378	670459	strain	5	NA	28,53520536
Velour k31 c20.01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	evo_1049056.015	3374338	1602347	strain	5	NA	71,22939374
Velour k31 c20.01	0	0	0	0	0	0	0	0	0	0	1	598	598	3382970	37,79	35,84	598	NA	598	NA	1	NA	1	NA	0	0	0	0	0 + 0 part	0	0,018	1	0	0	0	1	1	1	0	0	598	598	0	598	NA	1	NA	1	NA	evo_1049056.031	3382970	149277	strain	5	0 + 1 part	6,618902917
Velour k31 c20.01	4	0	0	0	0	4995	0	0	0	0	26	1620	18230	3264668	34,85	35,82	675	NA	557	NA	10	NA	18	NA	0	0	0	0	0 + 0 part	0	0,558	1	0	0	0	39	39	21	0	0	1620	675	0	557	NA	10	NA	18	NA	evo_1049056.039	3264668	21546	strain	5	5 + 46 part	0,989962838
Velour k31 c20.01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	evo_1286_AP.008	3384405	409851	strain	5	NA	18,16498026
Velour k31 c20.01	4	0	0	0	0	5043	0	0	0	0	64	1515	43236	3211060	46,69	46,7	639	NA	573	NA	27	NA	44	NA	0	0	0	0	0 + 0 part	0	1,346	1	0	0	0	86	86	60	0	0	1515	639	0	573	NA	27	NA	44	NA	evo_1286_AP.026	3211060	1469507	strain	5	20 + 144 part	68,64588329
Velour k31 c20.01	12	0	0	0	0	15641	0	0	0	0	333	2538	217603	3098187	47,12	46,68	628	NA	553	NA	137	NA	230	NA	0	0	0	0	0 + 0 part	0	7,018	1,001	0	2,3	0	444	444	307	0	0	2538	628	0	553	NA	137	NA	230	NA	evo_1286_AP.033	3098187	689246	strain	5	77 + 612 part	33,37012905
Velour k31 c20.01	1	0	0	0	0	1151	0	0	0	0	12	1151	8638	3083256	46,93	46,67	767	NA	590	NA	5	NA	9	NA	0	0	0	0	0 + 0 part	0	0,28	1	0	23,15	0	20	20	12	0	0	1151	767	0	590	NA	5	NA	9	NA	evo_1286_AP.037	3083256	501952	strain	5	5 + 33 part	24,41989896
Velour k31 c2.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	1030752	6278004	4133072	uniq	5	NA	98,75125916
Velour k31 c2.0	1255	206	30	0	0	4076703	1545208	378038	0	0	1659	17637	4367561	4620491	62,17	62,12	3825	3653	2144	1908	354	388	728	822	0	0	0	0	0 + 1 part	45	94,083	1,005	0	0,67	0	5442	5442	4451	394	35	17637	3825	3653	2144	1908	354	388	728	822	1030755	4620491	336727	uniq	5	6496 + 3097 part	10,93153303
Velour k31 c2.0	1333	69	15	0	0	2951577	558873	193702	0	0	2536	17767	3806357	4900391	41,12	41,31	1848	1361	1065	565	555	901	1240	2288	3	3	13553	0	0 + 1 part	57	77,331	1,004	0	0,42	0	4643	4643	3790	318	21	17767	1843	1360	1065	563	557	904	1242	2291	1030836	4900391	579419	uniq	5	2636 + 2840 part	17,73590107
Velour k31 c2.0	340	0	0	0	0	437715	0	0	0	0	1929	2738	1518551	3289345	68,5	68,33	791	NA	624	NA	704	NA	1247	NA	0	0	0	0	0 + 0 part	0	46,022	1,003	0	19,69	0,07	2966	2966	2039	10	0	2738	791	0	624	NA	704	NA	1247	NA	1030878	3289345	117951	uniq	5	640 + 3736 part	5,378776018
Velour k31 c2.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	1035900	7281938	4418897	uniq	5	NA	91,02447041
Velour k31 c2.0	30	7	3	0	0	122278	67700	37493	0	0	39	13952	128358	2199979	31,73	30,96	5258	NA	2896	NA	7	NA	15	NA	0	0	0	0	0 + 0 part	0	5,828	1,001	0	1,56	0	151	151	123	14	1	13952	5258	0	2896	NA	7	NA	15	NA	1035930	2199979	220904	strain	5	108 + 29 part	15,06178014
Velour k31 c2.0	1276	51	8	0	0	2722531	388853	93962	0	0	2520	13964	3605462	4677460	40,41	40,62	1742	1259	1009	545	572	933	1258	2334	1	1	9710	0	0 + 0 part	0	76,639	1,006	0	0,56	0	4497	4497	3707	275	18	13964	1740	1259	1009	545	573	933	1259	2335	1036539	4677460	349514	uniq	5	2380 + 2804 part	11,20845502
Velour k31 c2.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	1036554	2659575	8168678	uniq	5	NA	460,7133471
Velour k31 c2.0	520	0	0	0	0	695913	0	0	0	0	2057	3509	1762208	3184472	61,66	61,56	869	564	668	NA	720	1738	1298	NA	1	1	787	0	0 + 0 part	0	55,115	1,004	0	15,84	0	3092	3092	2241	27	0	3509	869	564	668	NA	720	1738	1298	NA	1036608	3184472	122192	uniq	5	907 + 4491 part	5,755679434
Velour k31 c2.0	628	156	27	0	0	2395195	1240558	364350	0	0	781	22223	2504585	2638923	27,63	27,72	4962	4670	2675	2417	159	173	330	369	3	3	15777	0	0 + 2 part	96	94,583	1,003	0	0,88	0	2893	2893	2315	253	17	22223	4962	4670	2675	2417	159	173	331	370	1036641	2638923	191369	uniq	5	4378 + 1360 part	10,87767623
Velour k31 c2.0	6	0	0	0	0	6480	0	0	0	0	305	1183	189545	4060624	31,05	30,58	600	NA	540	NA	131	NA	214	NA	1	1	970	0	0 + 1 part	337	4,659	1,002	0	273,3	0	387	387	251	0	0	1183	600	0	540	NA	131	NA	214	NA	1036707	4060624	72323	uniq	5	60 + 756 part	2,671621406
Velour k31 c2.0	3	0	0	0	0	3170	0	0	0	0	178	1106	110694	2032530	33,1	33,36	596	NA	545	NA	77	NA	126	NA	1	1	1106	0	0 + 1 part	18	5,441	1,001	0	272,18	0	245	245	154	0	0	1051	596	0	545	NA	77	NA	126	NA	1036728	2032530	37251	uniq	5	30 + 383 part	2,749110714
Velour k31 c2.0	4	0	0	0	0	4460	0	0	0	0	205	1162	124225	5216281	35,12	34,94	595	NA	538	NA	91	NA	146	NA	0	0	0	0	0 + 0 part	0	2,381	1	0	452,55	0	253	253	171	0	0	1162	595	0	538	NA	91	NA	146	NA	1036743	5216281	73921	uniq	5	32 + 526 part	2,125681113
Velour k31 c2.0	2110	7	0	0	0	3596417	39915	0	0	0	4274	6335	5157678	6467702	54,98	54,95	1383	1129	916	597	1240	1768	2395	3716	3	3	2411	1	0 + 1 part	33	79,684	1,001	0	0,02	0	7384	7384	5632	263	8	6335	1383	1129	916	596	1240	1768	2395	3717	1036755	6467702	1342188	uniq	5	2215 + 4505 part	31,12824308
Velour k31 c2.0	700	0	0	0	0	1110080	0	0	0	0	1707	4848	1816359	2431652	51,45	51,45	1168	908	792	NA	513	812	984	NA	2	2	1484	0	0 + 1 part	14	74,311	1,005	0	10,18	0,06	2602	2602	1856	62	1	4848	1168	908	791	NA	513	812	985	NA	1048783	2431652	107568	uniq	5	1134 + 2444 part	6,63548896
Velour k31 c2.0	0	0	0	0	0	0	0	0	0	0	64	837	38253	3845825	35,79	35,25	594	NA	543	NA	29	NA	46	NA	0	0	0	0	0 + 0 part	0	0,995	1	0	559,43	0	87	87	60	0	0	837	594	0	543	NA	29	NA	46	NA	1048993	3845825	41609	uniq	5	6 + 133 part	1,622889757
Velour k31 c2.0	48	0	0	0	0	55246	0	0	0	0	887	1516	589580	4107985	65,75	65,68	642	NA	562	NA	362	NA	608	NA	2	2	1185	0	0 + 0 part	0	14,351	1	0	0	0	1296	1296	835	0	0	1516	642	0	562	NA	362	NA	608	NA	1049005	4107985	1346963	uniq	5	179 + 2091 part	49,18334658
Velour k31 c2.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	1049056	3268305	1639674	strain	5	NA	75,25341117
Velour k31 c2.0	916	0	0	0	0	1450434	0	0	0	0	2206	4448	2365325	3125442	68,46	68,22	1164	931	796	508	668	1033	1278	2164	1	1	742	0	0 + 0 part	0	75,222	1,006	0	5,95	0	4063	4063	2967	47	0	4448	1164	931	796	508	668	1033	1279	2165	1049089	3125442	150629	uniq	5	1696 + 3974 part	7,229169506
Velour k31 c2.0	135	0	0	0	0	186501	0	0	0	0	545	3950	463811	5192961	63,63	66,83	856	NA	647	NA	185	NA	340	NA	0	0	0	0	0 + 0 part	0	8,927	1,001	0	0,86	0	848	848	563	10	0	3950	856	0	647	NA	185	NA	340	NA	1052944	5192961	257982	strain	5	185 + 727 part	7,451875722
Velour k31 c2.0	150	11	0	0	0	361367	75006	0	0	0	269	9693	447138	4767709	63,16	67,04	2204	NA	1197	NA	57	NA	127	NA	0	0	0	0	0 + 0 part	0	9,362	1,002	0	1,12	0,22	647	647	439	40	3	9693	2204	0	1197	NA	57	NA	127	NA	1052947	4767709	753707	strain	5	335 + 335 part	23,71286712
Velour k31 c2.0	2	0	0	0	0	3686	0	0	0	0	3	2311	4279	5190212	65,69	66,83	2311	NA	1375	NA	1	NA	2	NA	0	0	0	0	0 + 0 part	0	0,082	1	0	0	0	5	5	3	1	0	2311	2311	0	1375	NA	1	NA	2	NA	1053058	5190212	1025896	strain	5	0 + 8 part	29,64896232
Velour k31 c2.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	1139_AG	7278430	6047605	uniq	5	NA	124,6341244
Velour k31 c2.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	1220_AD	3480877	5653969	uniq	5	NA	243,6441592
Velour k31 c2.0	0	0	0	0	0	0	0	0	0	0	2	625	1149	3571513	65,19	66,69	625	NA	524	NA	1	NA	2	NA	0	0	0	0	0 + 0 part	0	0,032	1	0	609,23	0	2	2	1	0	0	625	625	0	524	NA	1	NA	2	NA	1220_AJ	3571513	17327	uniq	5	0 + 4 part	0,727716797
Velour k31 c2.0	1048	270	52	1	0	4222891	2233097	710062	25389	0	1310	25389	4412311	4566645	68,99	68,92	5041	4845	2910	2718	265	281	552	593	0	0	0	0	0 + 0 part	0	96,423	1,002	0	0,05	0	5150	5150	4339	389	44	25389	5041	4845	2910	2718	265	281	552	593	1285_BH	4566645	557585	uniq	5	4950 + 1688 part	18,31492266
Velour k31 c2.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	1286_AP	2975898	120657	strain	5	NA	6,081710462
Velour k31 c2.0	1	0	0	0	0	1179	0	0	0	0	72	1179	42463	7207331	66,57	65,81	575	NA	528	NA	33	NA	52	NA	0	0	0	0	0 + 0 part	0	0,589	1	0	430,96	0	99	99	66	0	0	1179	575	0	528	NA	33	NA	52	NA	1365_A	7207331	98969	uniq	5	7 + 118 part	2,059756934
Velour k31 c2.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	Sample15_97	1103	484	circular_elem	5	NA	65,82048957
Velour k31 c2.0	4	1	0	0	0	9754	5112	0	0	0	6	5112	11265	12897	52,85	52,5	2581	2581	1037	1024	2	2	3	4	0	0	0	0	0 + 0 part	0	87,292	1,001	0	0	0	14	14	11	1	0	5112	2581	2581	1037	1024	2	2	3	4	Sample16_19	12897	2423	circular_elem	5	0 + 0 part	28,18097232
Velour k31 c2.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	Sample18_57	3420	22197	circular_elem	5	NA	973,5526316
Velour k31 c2.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	Sample18_8	8320	13686	circular_elem	5	NA	246,7427885
Velour k31 c2.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	Sample19_20	9957	83975	circular_elem	5	NA	1265,064779
Velour k31 c2.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	Sample19_52	4959	4513	circular_elem	5	NA	136,5093769
Velour k31 c2.0	1	0	0	0	0	1109	0	0	0	0	4	1109	2919	4900	41,14	40,43	639	579	592	NA	2	4	3	NA	0	0	0	0	0 + 0 part	0	59,571	1	0	0	0	5	5	2	0	0	1109	639	579	592	NA	2	4	3	NA	Sample19_56	4900	1223	circular_elem	5	0 + 0 part	37,43877551
Velour k31 c2.0	1	0	0	0	0	1372	0	0	0	0	2	1372	2309	2721	46,12	45,9	1372	1372	937	937	1	1	2	2	0	0	0	0	0 + 0 part	0	84,859	1	0	0	0	5	5	1	0	0	1372	1372	1372	937	937	1	1	2	2	Sample22_283	2721	509	circular_elem	5	0 + 0 part	28,05953693
Velour k31 c2.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	Sample22_57	6280	9216	circular_elem	5	NA	220,1273885
Velour k31 c2.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	Sample22_89	5236	24162	circular_elem	5	NA	692,1886937
Velour k31 c2.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	Sample23_271	1739	266073	circular_elem	5	NA	22950,51754
Velour k31 c2.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	Sample23_273	1734	614	circular_elem	5	NA	53,11418685
Velour k31 c2.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	Sample23_288	1666	5165	circular_elem	5	NA	465,0360144
Velour k31 c2.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	Sample6_289	2362	715	circular_elem	5	NA	45,40643522
Velour k31 c2.0	1	0	0	0	0	1000	0	0	0	0	2	1000	1593	1678	39,17	39,21	1000	1000	593	593	1	1	2	2	0	0	0	0	0 + 0 part	0	94,815	1,001	0	0	0	2	2	2	0	0	998	998	998	593	593	1	1	2	2	Sample6_476	1678	74	circular_elem	5	0 + 0 part	6,615017878
Velour k31 c2.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	Sample6_49	5285	5584	circular_elem	5	NA	158,4862819
Velour k31 c2.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	Sample6_527	1550	13458	circular_elem	5	NA	1302,387097
Velour k31 c2.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	Sample6_722	1210	530	circular_elem	5	NA	65,70247934
Velour k31 c2.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	Sample9_2	5544	2217	circular_elem	5	NA	59,98376623
Velour k31 c2.0	1	0	0	0	0	1499	0	0	0	0	2	1499	2078	2080	53,61	53,61	1499	1499	579	579	1	1	2	2	0	0	0	0	0 + 0 part	0	99,904	1	0	0	0	2	2	1	0	0	1499	1499	1499	579	579	1	1	2	2	Sample9_65	2080	274	circular_elem	5	0 + 0 part	19,75961538
